CEPO: Equity Bond = -0.0016835571934248168%
Error for CERO: can only convert an array of size 1 to a Python scalar
CERS: Equity Bond = -11.164657432771637%
CERT: Equity Bond = -2.4501333023941965%
CETX: Equity Bond = -137.81800429140787%
CETY: Equity Bond = -24.546863837388734%
CEVA: Equity Bond = -1.1017658568720292%
CFB: Equity Bond = 10.786454755131933%
CFBK: Equity Bond = 17.21585865601691%
CFFI: Equity Bond = 12.016451307994434%
CFFN: Equity Bond = -17.97395132009039%
CFLT: Equity Bond = -5.441058599551146%
CFSB: Equity Bond = 3.4356240745250775%
CG: Equity Bond = -3.1007542096030116%
Error for CGABL: 'Pretax Income'
CGBD: Equity Bond = 10.057163317172394%
Error for CGBDL: 'Pretax Income'
CGEM: Equity Bond = -28.889000696205404%
CGNX: Equity Bond = 2.026013116993186%
CGO: Equity Bond = 4.313260428540044%
CGON: Equity Bond = -2.1746465020918593%
CGTX: Equity Bond = -93.19514951555%
Error for CHAR: 'Pretax Income'
CHCI: Equity Bond = 10.462178240378465%
CHCO: Equity Bond = 8.342727738975096%
CHDN: Equity Bond = 6.209992845554833%
CHEF: Equity Bond = 2.561826090364962%
Error for CHI: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
CHMG: Equity Bond = 13.131660771363448%
CHRD: Equity Bond = 19.739044424994596%
Error for CHRS: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
CHRW: Equity Bond = 3.528709539453586%
Error for CHSCL: '2023'
Error for CHSCM: 'Pretax Income'
Error for CHSCN: 'Pretax Income'
Error for CHSCO: 'Pretax Income'
Error for CHSCP: 'Pretax Income'
CHTR: Equity Bond = 14.139176448051566%
CHW: Equity Bond = 6.8764915555343835%
CHX: Equity Bond = 7.798099895767499%
CHY: Equity Bond = -1.1243520182771434%
CIFR: Equity Bond = -1.0871916403235815%
CINF: Equity Bond = 10.633420106751753%
CISO: Equity Bond = -700.2054621769249%
CIVB: Equity Bond = 15.387631315357456%
CKPT: Equity Bond = -33.98020153686566%
CLAR: Equity Bond = -11.428075385069624%
CLBK: Equity Bond = 2.978251462752125%
CLDX: Equity Bond = -9.01372624373524%
CLFD: Equity Bond = 8.462075939359265%
CLMB: Equity Bond = 2.918569494132576%
CLMT: Equity Bond = 3.1528889188983125%
CLNE: Equity Bond = -14.511127506924492%
CLNN: Equity Bond = -131.3220126316581%
CLOV: Equity Bond = -12.013248113693532%
CLPT: Equity Bond = -4.724306737821926%
CLRB: Equity Bond = -354.76555002728503%
